node_number	id	section_path	derivation_order	main_directory	main_artifact	main_state	supplement_directory	supplement_artifact	supplement_state	result
074	P019	4.3.1.1	74	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/073_C044__canonical_finite_prefix_projective_carrier_maps/074_P019__finite_prefix_map_typing_composition_and_projective_coherence	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/073_C044__canonical_finite_prefix_projective_carrier_maps/074_P019__finite_prefix_map_typing_composition_and_projective_coherence/SECTION.tex	PLANNED	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/073_C044__canonical_finite_prefix_projective_carrier_maps/074_P019__finite_prefix_map_typing_composition_and_projective_coherence	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/073_C044__canonical_finite_prefix_projective_carrier_maps/074_P019__finite_prefix_map_typing_composition_and_projective_coherence/DOCUMENTATION.md	PLANNED	PASS
075	C045	4.3.2	75	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/075_C045__nested_common_ambient_multiscale_transport	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/075_C045__nested_common_ambient_multiscale_transport/SECTION.tex	PLANNED	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/075_C045__nested_common_ambient_multiscale_transport	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/075_C045__nested_common_ambient_multiscale_transport/DOCUMENTATION.md	PLANNED	PASS
076	P020	4.3.2.1	76	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/075_C045__nested_common_ambient_multiscale_transport/076_P020__common_ambient_embedding_and_transport_identities	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/075_C045__nested_common_ambient_multiscale_transport/076_P020__common_ambient_embedding_and_transport_identities/SECTION.tex	PLANNED	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/075_C045__nested_common_ambient_multiscale_transport/076_P020__common_ambient_embedding_and_transport_identities	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/075_C045__nested_common_ambient_multiscale_transport/076_P020__common_ambient_embedding_and_transport_identities/DOCUMENTATION.md	PLANNED	PASS
077	C047	4.3.3	77	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/077_C047__nested_channel_refinement	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/077_C047__nested_channel_refinement/SECTION.tex	PLANNED	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/077_C047__nested_channel_refinement	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/077_C047__nested_channel_refinement/DOCUMENTATION.md	PLANNED	PASS
078	P021	4.3.3.1	78	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/077_C047__nested_channel_refinement/078_P021__nested_refinement_map_well_definedness_and_compatibility	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/077_C047__nested_channel_refinement/078_P021__nested_refinement_map_well_definedness_and_compatibility/SECTION.tex	PLANNED	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/077_C047__nested_channel_refinement/078_P021__nested_refinement_map_well_definedness_and_compatibility	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/077_C047__nested_channel_refinement/078_P021__nested_refinement_map_well_definedness_and_compatibility/DOCUMENTATION.md	PLANNED	PASS
079	C046	4.3.4	79	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/079_C046__forward_channel_structure	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/079_C046__forward_channel_structure/SECTION.tex	PLANNED	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/079_C046__forward_channel_structure	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/079_C046__forward_channel_structure/DOCUMENTATION.md	PLANNED	PASS
080	P022	4.3.4.1	80	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/079_C046__forward_channel_structure/080_P022__forward_channel_well_definedness_and_structural_identities	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/079_C046__forward_channel_structure/080_P022__forward_channel_well_definedness_and_structural_identities/SECTION.tex	PLANNED	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/079_C046__forward_channel_structure/080_P022__forward_channel_well_definedness_and_structural_identities	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/03_projective_carriers_and_nested_open_channels/079_C046__forward_channel_structure/080_P022__forward_channel_well_definedness_and_structural_identities/DOCUMENTATION.md	PLANNED	PASS
081	C043	4.4.1	81	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/04_refinement_cocycle_and_live_reconstruction/081_C043__refinement_cocycle_live_reconstruction	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/04_refinement_cocycle_and_live_reconstruction/081_C043__refinement_cocycle_live_reconstruction/SECTION.tex	PLANNED	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/04_refinement_cocycle_and_live_reconstruction/081_C043__refinement_cocycle_live_reconstruction	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/04_refinement_cocycle_and_live_reconstruction/081_C043__refinement_cocycle_live_reconstruction/DOCUMENTATION.md	PLANNED	PASS
082	P023	4.4.1.1	82	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/04_refinement_cocycle_and_live_reconstruction/081_C043__refinement_cocycle_live_reconstruction/082_P023__refinement_cocycle_law	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/04_refinement_cocycle_and_live_reconstruction/081_C043__refinement_cocycle_live_reconstruction/082_P023__refinement_cocycle_law/SECTION.tex	PLANNED	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/04_refinement_cocycle_and_live_reconstruction/081_C043__refinement_cocycle_live_reconstruction/082_P023__refinement_cocycle_law	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/04_refinement_cocycle_and_live_reconstruction/081_C043__refinement_cocycle_live_reconstruction/082_P023__refinement_cocycle_law/DOCUMENTATION.md	PLANNED	PASS
083	P024	4.4.1.2	83	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/04_refinement_cocycle_and_live_reconstruction/081_C043__refinement_cocycle_live_reconstruction/083_P024__future_invariance_of_retained_finite_blocks	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/04_refinement_cocycle_and_live_reconstruction/081_C043__refinement_cocycle_live_reconstruction/083_P024__future_invariance_of_retained_finite_blocks/SECTION.tex	PLANNED	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/04_refinement_cocycle_and_live_reconstruction/081_C043__refinement_cocycle_live_reconstruction/083_P024__future_invariance_of_retained_finite_blocks	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/04_refinement_cocycle_and_live_reconstruction/081_C043__refinement_cocycle_live_reconstruction/083_P024__future_invariance_of_retained_finite_blocks/DOCUMENTATION.md	PLANNED	PASS
084	P025	4.4.1.3	84	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/04_refinement_cocycle_and_live_reconstruction/081_C043__refinement_cocycle_live_reconstruction/084_P025__live_directed_reconstruction_from_record_and_cocycle_data	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/04_refinement_cocycle_and_live_reconstruction/081_C043__refinement_cocycle_live_reconstruction/084_P025__live_directed_reconstruction_from_record_and_cocycle_data/SECTION.tex	PLANNED	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/04_refinement_cocycle_and_live_reconstruction/081_C043__refinement_cocycle_live_reconstruction/084_P025__live_directed_reconstruction_from_record_and_cocycle_data	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/04_refinement_cocycle_and_live_reconstruction/081_C043__refinement_cocycle_live_reconstruction/084_P025__live_directed_reconstruction_from_record_and_cocycle_data/DOCUMENTATION.md	PLANNED	PASS
085	O049	4.5.1	85	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/05_projection_completion_obstruction_boundary/085_O049__projection_completion_naturality_obstruction	derivation/paper/main/sections/04_projective_refinement_and_nested_open_channels/05_projection_completion_obstruction_boundary/085_O049__projection_completion_naturality_obstruction/SECTION.tex	PLANNED	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/05_projection_completion_obstruction_boundary/085_O049__projection_completion_naturality_obstruction	derivation/supplement/sections/04_projective_refinement_and_nested_open_channels/05_projection_completion_obstruction_boundary/085_O049__projection_completion_naturality_obstruction/DOCUMENTATION.md	PLANNED	PASS
086	C050	5.1.1	86	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/01_raw_presymplectic_carrier_and_weyl_system/086_C050__finite_support_raw_presymplectic_carrier_v_fin_raw	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/01_raw_presymplectic_carrier_and_weyl_system/086_C050__finite_support_raw_presymplectic_carrier_v_fin_raw/SECTION.tex	PLANNED	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/01_raw_presymplectic_carrier_and_weyl_system/086_C050__finite_support_raw_presymplectic_carrier_v_fin_raw	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/01_raw_presymplectic_carrier_and_weyl_system/086_C050__finite_support_raw_presymplectic_carrier_v_fin_raw/DOCUMENTATION.md	PLANNED	PASS
087	P026	5.1.1.1	87	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/01_raw_presymplectic_carrier_and_weyl_system/086_C050__finite_support_raw_presymplectic_carrier_v_fin_raw/087_P026__raw_presymplectic_well_definedness_and_future_invariance	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/01_raw_presymplectic_carrier_and_weyl_system/086_C050__finite_support_raw_presymplectic_carrier_v_fin_raw/087_P026__raw_presymplectic_well_definedness_and_future_invariance/SECTION.tex	PLANNED	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/01_raw_presymplectic_carrier_and_weyl_system/086_C050__finite_support_raw_presymplectic_carrier_v_fin_raw/087_P026__raw_presymplectic_well_definedness_and_future_invariance	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/01_raw_presymplectic_carrier_and_weyl_system/086_C050__finite_support_raw_presymplectic_carrier_v_fin_raw/087_P026__raw_presymplectic_well_definedness_and_future_invariance/DOCUMENTATION.md	PLANNED	PASS
088	C051	5.1.2	88	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/01_raw_presymplectic_carrier_and_weyl_system/088_C051__algebraic_weyl_direct_system	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/01_raw_presymplectic_carrier_and_weyl_system/088_C051__algebraic_weyl_direct_system/SECTION.tex	PLANNED	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/01_raw_presymplectic_carrier_and_weyl_system/088_C051__algebraic_weyl_direct_system	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/01_raw_presymplectic_carrier_and_weyl_system/088_C051__algebraic_weyl_direct_system/DOCUMENTATION.md	PLANNED	PASS
089	P027	5.1.2.1	89	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/01_raw_presymplectic_carrier_and_weyl_system/088_C051__algebraic_weyl_direct_system/089_P027__algebraic_weyl_direct_system_coherence	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/01_raw_presymplectic_carrier_and_weyl_system/088_C051__algebraic_weyl_direct_system/089_P027__algebraic_weyl_direct_system_coherence/SECTION.tex	PLANNED	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/01_raw_presymplectic_carrier_and_weyl_system/088_C051__algebraic_weyl_direct_system/089_P027__algebraic_weyl_direct_system_coherence	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/01_raw_presymplectic_carrier_and_weyl_system/088_C051__algebraic_weyl_direct_system/089_P027__algebraic_weyl_direct_system_coherence/DOCUMENTATION.md	PLANNED	PASS
090	M050	5.2.1	90	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/090_M050__derived_provenance_hilbert_metric_g	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/090_M050__derived_provenance_hilbert_metric_g/SECTION.tex	PLANNED	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/090_M050__derived_provenance_hilbert_metric_g	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/090_M050__derived_provenance_hilbert_metric_g/DOCUMENTATION.md	PLANNED	PASS
091	P028	5.2.1.1	91	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/090_M050__derived_provenance_hilbert_metric_g/091_P028__provenance_metric_existence_and_cylinder_consistency	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/090_M050__derived_provenance_hilbert_metric_g/091_P028__provenance_metric_existence_and_cylinder_consistency/SECTION.tex	PLANNED	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/090_M050__derived_provenance_hilbert_metric_g/091_P028__provenance_metric_existence_and_cylinder_consistency	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/090_M050__derived_provenance_hilbert_metric_g/091_P028__provenance_metric_existence_and_cylinder_consistency/DOCUMENTATION.md	PLANNED	PASS
092	P029	5.2.1.2	92	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/090_M050__derived_provenance_hilbert_metric_g/092_P029__provenance_metric_positivity_and_uniqueness_up_to_normalization	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/090_M050__derived_provenance_hilbert_metric_g/092_P029__provenance_metric_positivity_and_uniqueness_up_to_normalization/SECTION.tex	PLANNED	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/090_M050__derived_provenance_hilbert_metric_g/092_P029__provenance_metric_positivity_and_uniqueness_up_to_normalization	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/090_M050__derived_provenance_hilbert_metric_g/092_P029__provenance_metric_positivity_and_uniqueness_up_to_normalization/DOCUMENTATION.md	PLANNED	PASS
093	C052	5.2.2	93	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/093_C052__hilbert_schmidt_normalized_skew_operator_k	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/093_C052__hilbert_schmidt_normalized_skew_operator_k/SECTION.tex	PLANNED	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/093_C052__hilbert_schmidt_normalized_skew_operator_k	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/093_C052__hilbert_schmidt_normalized_skew_operator_k/DOCUMENTATION.md	PLANNED	PASS
094	P030	5.2.2.1	94	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/093_C052__hilbert_schmidt_normalized_skew_operator_k/094_P030__normalized_skew_operator_boundedness_and_skew_adjointness	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/093_C052__hilbert_schmidt_normalized_skew_operator_k/094_P030__normalized_skew_operator_boundedness_and_skew_adjointness/SECTION.tex	PLANNED	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/093_C052__hilbert_schmidt_normalized_skew_operator_k/094_P030__normalized_skew_operator_boundedness_and_skew_adjointness	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/093_C052__hilbert_schmidt_normalized_skew_operator_k/094_P030__normalized_skew_operator_boundedness_and_skew_adjointness/DOCUMENTATION.md	PLANNED	PASS
095	P031	5.2.2.2	95	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/093_C052__hilbert_schmidt_normalized_skew_operator_k/095_P031__hilbert_schmidt_edge_majorant_and_tail	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/093_C052__hilbert_schmidt_normalized_skew_operator_k/095_P031__hilbert_schmidt_edge_majorant_and_tail/SECTION.tex	PLANNED	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/093_C052__hilbert_schmidt_normalized_skew_operator_k/095_P031__hilbert_schmidt_edge_majorant_and_tail	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/093_C052__hilbert_schmidt_normalized_skew_operator_k/095_P031__hilbert_schmidt_edge_majorant_and_tail/DOCUMENTATION.md	PLANNED	PASS
096	C054	5.2.3	96	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/096_C054__algebraic_radical_triviality_and_infinite_rank	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/096_C054__algebraic_radical_triviality_and_infinite_rank/SECTION.tex	PLANNED	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/096_C054__algebraic_radical_triviality_and_infinite_rank	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/096_C054__algebraic_radical_triviality_and_infinite_rank/DOCUMENTATION.md	PLANNED	PASS
097	P032	5.2.3.1	97	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/096_C054__algebraic_radical_triviality_and_infinite_rank/097_P032__algebraic_radical_triviality	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/096_C054__algebraic_radical_triviality_and_infinite_rank/097_P032__algebraic_radical_triviality/SECTION.tex	PLANNED	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/096_C054__algebraic_radical_triviality_and_infinite_rank/097_P032__algebraic_radical_triviality	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/096_C054__algebraic_radical_triviality_and_infinite_rank/097_P032__algebraic_radical_triviality/DOCUMENTATION.md	PLANNED	PASS
098	P033	5.2.3.2	98	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/096_C054__algebraic_radical_triviality_and_infinite_rank/098_P033__infinite_rank_of_the_raw_skew_operator	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/096_C054__algebraic_radical_triviality_and_infinite_rank/098_P033__infinite_rank_of_the_raw_skew_operator/SECTION.tex	PLANNED	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/096_C054__algebraic_radical_triviality_and_infinite_rank/098_P033__infinite_rank_of_the_raw_skew_operator	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/02_provenance_hilbert_metric_and_normalized_skew/096_C054__algebraic_radical_triviality_and_infinite_rank/098_P033__infinite_rank_of_the_raw_skew_operator/DOCUMENTATION.md	PLANNED	PASS
099	C053	5.3.1	99	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/03_quasifree_state_specialization/099_C053__regular_quasifree_provenance_state_prov	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/03_quasifree_state_specialization/099_C053__regular_quasifree_provenance_state_prov/SECTION.tex	PLANNED	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/03_quasifree_state_specialization/099_C053__regular_quasifree_provenance_state_prov	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/03_quasifree_state_specialization/099_C053__regular_quasifree_provenance_state_prov/DOCUMENTATION.md	PLANNED	PASS
100	P034	5.3.1.1	100	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/03_quasifree_state_specialization/099_C053__regular_quasifree_provenance_state_prov/100_P034__quasifree_positivity_regularity_and_cylinder_consistency	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/03_quasifree_state_specialization/099_C053__regular_quasifree_provenance_state_prov/100_P034__quasifree_positivity_regularity_and_cylinder_consistency/SECTION.tex	PLANNED	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/03_quasifree_state_specialization/099_C053__regular_quasifree_provenance_state_prov/100_P034__quasifree_positivity_regularity_and_cylinder_consistency	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/03_quasifree_state_specialization/099_C053__regular_quasifree_provenance_state_prov/100_P034__quasifree_positivity_regularity_and_cylinder_consistency/DOCUMENTATION.md	PLANNED	PASS
101	C055	5.4.1	101	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/04_local_cone_completion_and_injectivity/101_C055__local_descendant_cone_hilbert_completion	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/04_local_cone_completion_and_injectivity/101_C055__local_descendant_cone_hilbert_completion/SECTION.tex	PLANNED	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/04_local_cone_completion_and_injectivity/101_C055__local_descendant_cone_hilbert_completion	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/04_local_cone_completion_and_injectivity/101_C055__local_descendant_cone_hilbert_completion/DOCUMENTATION.md	PLANNED	PASS
102	P035	5.4.1.1	102	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/04_local_cone_completion_and_injectivity/101_C055__local_descendant_cone_hilbert_completion/102_P035__local_cone_restriction_and_hilbert_completion_canonicity	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/04_local_cone_completion_and_injectivity/101_C055__local_descendant_cone_hilbert_completion/102_P035__local_cone_restriction_and_hilbert_completion_canonicity/SECTION.tex	PLANNED	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/04_local_cone_completion_and_injectivity/101_C055__local_descendant_cone_hilbert_completion/102_P035__local_cone_restriction_and_hilbert_completion_canonicity	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/04_local_cone_completion_and_injectivity/101_C055__local_descendant_cone_hilbert_completion/102_P035__local_cone_restriction_and_hilbert_completion_canonicity/DOCUMENTATION.md	PLANNED	PASS
103	C056	5.4.2	103	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/04_local_cone_completion_and_injectivity/103_C056__completed_local_injectivity_ker_k_p_0	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/04_local_cone_completion_and_injectivity/103_C056__completed_local_injectivity_ker_k_p_0/SECTION.tex	PLANNED	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/04_local_cone_completion_and_injectivity/103_C056__completed_local_injectivity_ker_k_p_0	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/04_local_cone_completion_and_injectivity/103_C056__completed_local_injectivity_ker_k_p_0/DOCUMENTATION.md	PLANNED	PASS
104	P036	5.4.2.1	104	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/04_local_cone_completion_and_injectivity/103_C056__completed_local_injectivity_ker_k_p_0/104_P036__ray_generating_function_injectivity_argument	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/04_local_cone_completion_and_injectivity/103_C056__completed_local_injectivity_ker_k_p_0/104_P036__ray_generating_function_injectivity_argument/SECTION.tex	PLANNED	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/04_local_cone_completion_and_injectivity/103_C056__completed_local_injectivity_ker_k_p_0/104_P036__ray_generating_function_injectivity_argument	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/04_local_cone_completion_and_injectivity/103_C056__completed_local_injectivity_ker_k_p_0/104_P036__ray_generating_function_injectivity_argument/DOCUMENTATION.md	PLANNED	PASS
105	P037	5.4.2.2	105	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/04_local_cone_completion_and_injectivity/103_C056__completed_local_injectivity_ker_k_p_0/105_P037__complete_remainder_estimate_and_completion_transfer	derivation/paper/main/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/04_local_cone_completion_and_injectivity/103_C056__completed_local_injectivity_ker_k_p_0/105_P037__complete_remainder_estimate_and_completion_transfer/SECTION.tex	PLANNED	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/04_local_cone_completion_and_injectivity/103_C056__completed_local_injectivity_ker_k_p_0/105_P037__complete_remainder_estimate_and_completion_transfer	derivation/supplement/sections/05_presymplectic_completion_weyl_system_and_quasifree_state/04_local_cone_completion_and_injectivity/103_C056__completed_local_injectivity_ker_k_p_0/105_P037__complete_remainder_estimate_and_completion_transfer/DOCUMENTATION.md	PLANNED	PASS
106	C057	6.1.1	106	derivation/paper/main/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/106_C057__gns_araki_woods_spectral_handoff	derivation/paper/main/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/106_C057__gns_araki_woods_spectral_handoff/SECTION.tex	PLANNED	derivation/supplement/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/106_C057__gns_araki_woods_spectral_handoff	derivation/supplement/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/106_C057__gns_araki_woods_spectral_handoff/DOCUMENTATION.md	PLANNED	PASS
