ID	Object	Phase	Documented	Source objects	Definitions	Proof target	Proof sketch	Verification / audit	Next documentation action	Significance tier	Documentation depth requirement	Lifecycle note	Change version	Change timestamp	Change class	Change note
BR07	Thread-recursion arithmetic-shadow audit profile	4.0	no	RecursiveSchurSource; MobiusTransfer; CharpolyExec; S07; BR06; operational discriminant chain.	Audit profile locating the scalar recurrence source: IdealThread singleton, full-boundary diagonal, or generated intermediate route.	Show the precise code provenance of sigma/recurrence/transfer entries before interpreting arithmetic outputs as thread-generated.	Trace recurrenceLedger.recursiveSource, boundaryMatrixAt diagonal use, MobiusTransfer parameters, and discriminant output fields. Do not accept D=-3/-4/string claims until the route is code-derived.	Pending Phase 4.0; no claim of completed route provenance yet.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. When Phase 4.0 activates, fill source-to-CNNA mapping and concrete executable witness.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
LEG26	Reflective thread/full-boundary analogy diagnostic boundary	19.5	no	LEG25; LT5; S07; S08; BR06; BR07; derivation-graph metadata.	Secondary diagnostic boundary for string-like/thread-full analogies.	Ensure analogy-based reports remain downstream documentation and never become CNNA-generative inputs.	Require closed proof dossiers for underlying objects before comparison; generated graph data may diagnose but not create CNNA mathematics.	Future-only; not-before gates not closed.	Keep black/side target until after Schur/DtN and arithmetic dossiers are complete.	F4	Mention and pointer only: name, context class, status, and reason for non-consumption. No full proof dossier unless promoted.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
LEG27	Horizontal/vertical Schur-duality dependency-order lock	1.1.1.1.0.8	yes	Review insight; route objects S05/O05/TM0/CD7/BR06/BR07; existing v30 route locks.	SchurDualityOrderLock.	Show at the planning level that a horizontal/vertical Schur bridge is a future theorem target with strict source dependencies and no backward input rights.	The lock is closed by adding GNG14, BR08/BR09/CD8 dependency corrections, and phases 10.4.1/10.4.2 after TM0. No mathematical theorem is asserted here.	Validate that no white phase precedes the active cursor and that later bridge phases depend on source routes rather than vice versa.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. When BR08 activates, replace the planning-level proof sketch with checked code and concrete finite witnesses.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
BR08	Horizontal/vertical Schur-duality bridge	10.4.1	no	S05 DtN boundary operator; BR06 boundary route extrema; BR07 thread-recursion arithmetic shadow; S07/S08 route profiles; TM0-TM2 transfermatrix chain; CD7 Hurwitz stop; O05 operational discriminant.	SchurHorizontalVerticalDualityProfile with explicit horizontal block/sector elimination map, vertical level-recursion map, and a comparison/commutation or factorization statement over one derived Dirichlet-Laplacian.	Prove that horizontal sector Schur-complementing and vertical level-recursive Schur-complementing are compatible factorizations/aspects of the same multiscale Schur decomposition, or split/obstruct the statement at the first precise failure.	Positive route: first instantiate one finite generated tree/cut; build the full Dirichlet-Laplacian with both sector and level block indices; express both elimination orders; prove entrywise equality/naturality where defined. Avoid importing physical analogy or CD/arithmetic conclusions as assumptions.	Requires local Lean theorem evidence and concrete computable instance traversal. Must audit whether the two decompositions actually commute, require side conditions, or only share a weaker universal source.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Prepare only after S05/O05/TM0/CD7/BR06/BR07 are neutral and documented; then split into smaller lemmas if the block-index product structure is too deep.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
BR09	Subsystem-induced invariant bifurcation profile	10.4.1	no	BR08 plus finite cut/subsystem boundary data and route-specific invariant records.	SubsystemSchurInvariantBifurcationProfile.	Document, after BR08, which invariant families are outputs of horizontal Schur route and which are outputs of vertical Schur route, without conflating explanation with proof.	Use proofbook diagrams/tables and checked code references to show source paths. The profile is explanatory until backed by BR08 theorem objects.	Audit that this profile remains downstream and cannot create formulas or public API names.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Fill after BR08, not during Phase 3/4 source construction.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
LEG28	Heuristic Eisenstein/Gauss lattice test-matrix boundary contract	1.1.1.1.0.9	yes	EXEC-2, canonical generator policy, post-97 source audit, CM/j target boundary.	The post-97 spiral b-ary tree construction is accepted only as a future test-matrix and comparison profile, never as generator input.	Show as a planning invariant that future lattice tests must consume code-defined branching and derived CM/j objects rather than defining them.	The decision follows from the existing derived-only and EXEC-2 constraints: angle profiles and complex coordinates are not operational generator data; they can be compared after the finite generator, lattice, and CM/j target objects exist.	Checked against post #97 content: b-ary addresses, b>=2 heuristic, 120/90 degree profiles, L=3/L=4 closure claims, hierarchical vs spiral distinction. No Lean code changed.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. When 8.5 starts, fill concrete rows and module manifest; keep all analytic/irrational material in mirror/comparison fields.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
LEG29	General early finite computation test-matrix contract	1.1.1.1.0.10	yes - planning invariant	LEG14, LEG15, LEG28, canonical generator policy, v32 L09/L10/M08/BR10 sentinel-test objects.	A generic finite test matrix is a family of code-defined finite input rows with operational output witnesses; sentinel rows are optional comparison rows and cannot replace generic coverage.	Show as a planning invariant that early computation phases cannot close on special examples alone.	Insert the invariant before active implementation; make it global through workflow and guardrail sections; route specialized Eisenstein/Gauss material through O07/L09/L10 rather than through generator definitions.	Check YAML has one active cursor, no white predecessor before active phase, O07/L09 separation, and GNG16.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. When Phase 1.1.1.1.1 prepares module manifests, record exact test module placement and row schema.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
L09	Static branching Eisenstein/Gauss lattice test matrix	8.5	no	code-defined static b, L_max, L06, L04, O05, M05; O07 generic finite computation test matrix profile	Finite rows for Eisenstein and Gauss test profiles using rational/integer operational invariants.	Add static Eisenstein/Gauss sentinel rows to the general O07 test matrix; do not treat them as a complete test suite.	Pending. Must use checked finite code/test rows as primary evidence; forum geometry is a heuristic source, not proof.	Pending. Must check code-defined branching, no duplicate generator logic, EXEC-2 boundary, and no noncomputable leak into operational path. Audit must confirm that special Eisenstein/Gauss rows are sentinels inside generic coverage, not the only passing tests.	After O07 exists, specify generic row set first, then static sentinel rows and expected mirror/comparison targets.	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
L10	Dynamic branching and L_max lattice test sweep	8.6	no	canonical generated branch-family route, L09; O07 generic finite computation test matrix profile	Dynamic-branching extension of L09 over legal code-defined branch policies.	Extend O07 to dynamic branching and L_max sweeps without duplicating generator logic or specializing to CM targets.	Pending. Must use checked finite code/test rows as primary evidence; forum geometry is a heuristic source, not proof.	Pending. Must check code-defined branching, no duplicate generator logic, EXEC-2 boundary, and no noncomputable leak into operational path. Audit must confirm that special Eisenstein/Gauss rows are sentinels inside generic coverage, not the only passing tests.	Fill during the phase natural implementation; include concrete test matrix rows and pass/fail criteria.	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
M08	Eisenstein/Gauss CM and j special-value test targets	8.5	no	L04, O05, M05; O07 generic finite computation test matrix profile	Sentinel comparison values for CM/j special cases, available only after the generic finite computation matrix and relevant CM/j objects exist.	Record special-value targets only after CM and j objects are available; do not operationally evaluate analytic j in ExecComplex.	Pending. Must use checked finite code/test rows as primary evidence; forum geometry is a heuristic source, not proof.	Pending. Must check code-defined branching, no duplicate generator logic, EXEC-2 boundary, and no noncomputable leak into operational path. Audit must confirm that special Eisenstein/Gauss rows are sentinels inside generic coverage, not the only passing tests. v37 audit: modular/CM path only; cannot gate finite spectral/physical consumers.	Fill during the phase natural implementation; include concrete test matrix rows and pass/fail criteria.	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
BR10	Hierarchical versus spiral embedding collision and closure audit	8.6	no	finite address structure, L09/L10, post #97 notes; O07 generic finite computation test matrix profile	Audit separating angle-invariant hierarchical overlays from angle-dependent spiral closure/collision behavior.	Audit hierarchical-vs-spiral closure/collision behavior as a diagnostic overlay on generic finite rows.	Pending. Must use checked finite code/test rows as primary evidence; forum geometry is a heuristic source, not proof.	Pending. Must check code-defined branching, no duplicate generator logic, EXEC-2 boundary, and no noncomputable leak into operational path. Audit must confirm that special Eisenstein/Gauss rows are sentinels inside generic coverage, not the only passing tests.	Fill during the phase natural implementation; include concrete test matrix rows and pass/fail criteria.	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
LEG30	Regime-typed early test-matrix contract	1.1.1.1.0.11	yes	O07, noOuter/HasOuter discipline, EXEC-2, IDEAL_infty projection discipline, post #97	Global workflow contract for derived regime tags on test rows.	Prevent false promotion of Heegner/class-number-one or Eisenstein/Gauss comparison data into closed/noOuter generator evidence.	Planning proof: insert a green order lock before active implementation, add global no-go GNG17, add O08/N18/BR11/BR12, and make later phases consume the schema rather than define regimes from it.	Audit in generated phase/object/workflow tables; no Lean code.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Use during Phase 1.1.1.1.1 module manifest and later O08 implementation.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
O08	Regime-typed finite computation test matrix profile	4.0.2	no	O07; noOuter/HasOuter split; canonical generator outputs	Row schema with branch mode, L_max, executable witness, derived regime tag, and optional comparison columns.	Show early finite computations are both general and regime-aware.	Pending Lean implementation. Expected proof path: build row constructors from canonical generator output and regime witness; prove sentinel/comparison columns cannot alter operational regime.	Pending local Lean build and row witness audit.	Fill before Phase 4.0.2 implementation.	F2	Standard dossier: short definition, source objects, proof target, implementation location, and next documentation action. No large narrative unless it blocks implementation.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
N18	Heegner regime-projection classification profile	7.2.1	no	ClassNumberProfile, HeegnerIndicatorProfile, O08, BR11	Consumer-only classification of h(D)=1/Heegner targets by derived CNNA regime.	Separate number-theoretic class-number-one from closed noOuter physics/regime status.	Pending. h(D)=1 can support PID/UFD classification in number theory after derivation, but not noOuter closure. Other Heegner targets must be projection/comparison rows unless a noOuter derivation exists.	Check against class-number data and external list only after CNNA data are derived.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Fill after 7.2 and before any Heegner interpretation.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
BR11	IDEAL_infty projection and complement-family Heegner boundary	7.2.1	no	IDEAL_infty, complement families, noOuter/HasOuter split, N18	Boundary that additional Heegner phenomena are first treated as projection/complement-family cases.	Prevent multiple closed-root interpretations without derived noOuter proof.	Pending. Must show any non-root Heegner row carries a projection/complement-family provenance or remains comparison-only.	Audit against O08/N18 rows and regime tags.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Fill together with N18.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
BR12	noOuter REAL-root Eisenstein/Gauss sentinel hypothesis	4.0.2	no	post #97; O08; M08; O05; noOuter root regime	Sentinel hypothesis for D=-3/D=-4 as closed noOuter REAL-root candidates.	Test whether the noOuter empty-set REAL approximant uniquely matches Eisenstein/Gauss sentinels, without assuming the result.	Pending. Use finite noOuter-root rows and compare D/j targets only after O05/M08 exist.	Audit must reject use of the heuristic as generator input and keep tau/j mirror-only.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Fill during 4.0.2/8.5 implementation.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
LEG31	Computable scalar architecture contract	1.1.1.1.0.12	yes	O00, LEG20, LEG22, current code audit, mathlib Complex and QuadraticAlgebra docs	Top-level scalar policy separating rational ExecComplex, required exact quadratic schema/provenance, analytic Complex mirror, and late CD noncircularity audit.	Prevent false assumption that ExecComplex is a complete C layer or that CD can replace it before proof.	Code audit shows ExecComplex is QxQ and bridge maps to Complex; CD bridge currently records no identification. Mathlib audit shows QuadraticAlgebra is coordinate-based and AdjoinRoot adjoins a root through a quotient pattern. Therefore the CNNA exact quadratic layer must be discriminant-indexed and proof-carrying, not a free sqrt(D).	Generated table; no Lean build. Future verification in 1.2.1.1/1.2.1.2/4.0.3/CD9.	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty. Use LEG32 in Phase 1.1.1.1.1 module manifest before proposing scalar modules.	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
LEG32	Derived-only exact quadratic provenance contract	1.1.1.1.0.13	yes	LEG31, O00, O05/O06 plan, mathlib QuadraticAlgebra and AdjoinRoot reference docs, CD9 noncircularity rule	No-free-sqrt scalar provenance contract. The exact quadratic layer is a relation-generated algebra over a derived D, not an axiom or analytic square root.	Prevent O09 from becoming a postulated algebraic-number source. Ensure every exact quadratic instance cites a proof-carrying D-source.	Use dependency order: first operational Schur/DtN/charpoly/determinant produces D; then O09 constructs a two-coordinate algebra with theta^2 = D; then BR14 projects trace/norm/invariants. Missing D forces a backjump to O05/O06.	Planning lock only. Web/mathlib references support the construction pattern; Lean implementation deferred to O09/O10/BR14 phases.	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty. During Phase 1.1.1.1.1, scalar-related module manifests must classify schema versus D-instantiation versus mirror proof.	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
O09	Required exact quadratic operational scalar schema	1.2.1.2	no	O00, O05, N02, N04, N06, LEG31	Required parameterized exact quadratic schema for a+b theta with theta^2=D. No concrete D is introduced here; instantiation belongs to O10/BR14.	Support exact imaginary-quadratic computations while preserving derived-only provenance and not promoting analytic Complex to operational path.	Pending. Expected route: define/wrap two-coordinate algebra; prove coordinate addition/multiplication/conjugation/trace/norm; keep D as parameter; require O10 for concrete D-ledger rows.	Pending local Lean build, mathlib import check, and executable witness tests.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Fill before any schema module named ExactQuadraticScalar/ExactQuadraticComplex or equivalent is created.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
O10	Proof-carrying discriminant-indexed quadratic scalar instance	4.5.1	no	O05/O06 discriminant ledger, O09 schema, LEG32	Instance of ExactQuadraticScalar at ledger.D with theta^2 = D; coordinate elements a+b theta; proof-carrying link to D-source.	Show exact quadratic coordinates are generated from the operational discriminant and not independently assumed.	Pending. Expected route: consume D certificate; define instance; prove theta-square relation; derive conjugation/trace/norm formulas by coordinate equations; record executable witnesses.	Pending local Lean build and finite computation rows after O05 correction and O09 schema.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Do not implement before O09 schema and O05/O06 public correction are available.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
BR13	ExecComplex to exact-quadratic projection bridge	4.0.3	no	O00, O09, O10, BR14, O07, O08, BR12	Bridge from exact quadratic computations and D-source instantiations to rational/integer operational invariants and ExecComplex-compatible reports.	Ensure exact quadratic layer enriches tests without redefining generator or rational floor.	Pending. Use row constructors and projection lemmas: exact quadratic coordinate -> trace/norm/discriminant/integer invariant -> allowed operational column.	Pending finite computation matrix rows and local build.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Fill during 4.0.3.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
BR14	Discriminant-source to exact-quadratic algebra instantiation bridge	4.5.1	no	O05/O06, O09, O10, LEG32	Bridge from proof-carrying D-source to exact quadratic algebra instance and from that instance to allowed invariant projections.	Every exported quadratic invariant has a provenance path through the D-ledger and O09/O10, not through a free formula.	Pending. Expected route: define bridge record with D-source, exact quadratic instance, and projection lemmas; prove trace/norm/discriminant projection equations structurally.	Pending after 4.5 and 1.2.1.2 are available.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Fill during Phase 4.5.1 preparation.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
CD9	Cayley-Dickson C-layer noncircularity audit	10.4.3	no	CD7, CD8, BR08, BR09, O09, ArithmeticCDBridge	Late audit determining whether CD supplies a genuine scalar C surface comparable to O09/O10 without serving as early scalar source.	Prove noncircularity before any CD-derived C layer is consumed operationally; it cannot supply sqrt(D) for O09/O10.	Pending. Must show CD surface is generated from closed CD/Schur data and not from ExecComplex/Complex mirror or later arithmetic consumers; otherwise mark blocked/comparison-only.	Pending after BR08/CD8 closure.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Do not use for early scalar implementation; revisit only in 10.4.3.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
LEG33	Phase 5-10 bifurcation and dependency repair contract	1.1.1.1.0.14	yes	v36 phase table; object register; Phase 4.1 ExecBoundaryMatrix; M/SP/P/TM/N/L object groups	Planning contract separating Path A (number-theory/geometric/modular/analytic) from Path B (spectral/physical/transfer/late bridges).	Show that SP0/SP1/P00-P06 and TM0-TM2 do not require Phase 8/9 modular/j data as prerequisites, while M00-M07 belong to the modular path and L08/N16/N17 to analytic far targets.	Compare each object's Computed from/Natural provenance fields. Spectral/physical objects consume ExecBoundaryMatrix, finite matrix algebra, star/state/regime data; modular objects consume tau/lattice/Eisenstein/Delta/j; analytic far targets consume theta/chi_D/L-function data. Therefore the old linear chain imposed an artificial bottleneck and must be split.	Generated v37 phase/object tables must show M objects in Phase 8, analytic L/theta objects in Phase 9, and SP/P/TM objects in Phase 10 with no Phase 8/9 dependency unless a bridge explicitly records it.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. During Phase 1.1.1.1.1 module manifest, verify proposed modules preserve this path split and do not import modular APIs into finite spectral/physical code.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
LEG34	Phase-object-link policy contract	1.1.1.1.0.15	yes	v37 phase table; object register; direct object map; phase hierarchy	A phase has direct linked objects iff object.Phase equals phase.Phase. If the direct set is empty, the phase must declare scope_only, no_direct_object, or moved. Scope-only child objects may be displayed as a summary but do not transfer ownership.	Every phase row in the generated table has an explicit object-link interpretation; no blank Linked objects cell can be mistaken for missing plan data.	Compute direct objects from the object register, compute descendant object scope from the phase hierarchy, classify moved placeholders from routing text, classify direct phases by direct ownership, classify remaining descendant-bearing phases as scope-only, and classify the rest as no-direct-object audit/baseline/closeout. Validate that empty-direct phases are never rendered as unqualified blanks.	Generator validation fails if a phase declares direct ownership without direct objects, declares scope_only without child scope, or has an invalid policy kind. The phase table renders explanatory text instead of empty cells.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. During every future phase/object move, update the object Phase field and phase object-link policy together; never leave a newly empty phase without explicit policy.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
LEG35	Ontic subsystem-minimality contract	1.1.1.1.0.16	yes	IDEAL_infty formal provenance whole; subsystem/cut/approximant; complement-family/regime split; Schur/DtN effective operator path	Subsystem-being is the only primitive ontic emergence trigger: a finite/local subsystem, cut or approximant is selected inside IDEAL_infty. IDEAL_infty remains the formal relational/provenance whole. Boundary, inside/outside, complement families, regimes, operators, spectra, algebra, arithmetic, geometry, dynamics and physics are downstream derived consequences or comparison-only interpretations.	Prevent any phase from importing dynamics, physics, stochasticity, geometry, arithmetic, operator algebra, environment or unitarity as primitive data beyond subsystem-being.	Declare POST1 as global postulate. Route every later non-subsystem object through source-object chains beginning with cut/approximant and passing through boundary/regime/complement and Schur/DtN or a certified later bridge. Add GNG22 so missing structure forces backjump to the natural generating layer rather than consumer-side patching.	Generated global-postulate table, GNG22, workflow policy and LEG35 dossier must be present before active implementation. Future phase audits must state whether physical/arithmetic/geometric claims are derived or comparison-only.	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty. When implementation starts, require the module manifest and proof dossiers to record the subsystem/cut provenance chain for every consumer that mentions dynamics, geometry, arithmetic, stochasticity, openness, unitarity or physics.	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
DBR0	Database-ready CNNA review and documentation structure	20	yes	masters/cnna_roadmap_master.yaml; generated_exports/*.tsv; repo_inventory/raw_export; tables/*.tex; figures/*.dot/pdf.	A non-operational review/documentation structure that keeps the Single-YAML-Master database-ready and prepares queryable phase/object/module/handoff/theory/review representations.	Documentation/governance object: verify that it is review/query infrastructure only, not a CNNA-generative source. For DBR1 also verify immediate expert-review/no-infallibility enforcement.	Closed as documentation/governance route: YAML master + generated exports + workflow/GNG rows -> DB-REVIEW side objective -> future database-ready views. This proves no database layer is a CNNA generator; it is a review/query layer only.	V1.07 YAML contains Phase 20, DBR0-DBR5 objects, scratchpads, GNG23-GNG24, workflow row, and generated tables. No Lean source changed.	Use future Phase 20.2+ to implement schema/export only after review links and IDs are stable.	F3	Compact record: what exists, why it exists, owning phase, source location, and whether it may affect Lean objects. Avoid proofbook bloat.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
DBR1	Expert-review and no-infallibility epistemic rule	20.1	yes	global_no_go_guardrails GNG23-GNG24; workflow_policy DB-REVIEW; status_legend review/audit rows; latest_change_overview V1.07.	A global rule that Lean code is the primary truth system but not semantically infallible; generated artifacts are secondary; every relevant claim remains subject to discipline-specific expert review.	Documentation/governance object: verify that it is review/query infrastructure only, not a CNNA-generative source. For DBR1 also verify immediate expert-review/no-infallibility enforcement.	Closed as global governance rule: GNG23-GNG24 and DB-REVIEW workflow state Lean-primary/generated-secondary semantics and expert-review obligation. This is not a mathematical theorem and not a Lean axiom.	V1.07 generated guardrail/workflow/status tables include no-infallibility and blue-audit obligations.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Apply immediately in future phase closeouts, proof dossiers, and blue/reference-theory audits.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
DBR2	Database-ready YAML schema and round-trip target	20.2	no	cnna_roadmap_master.yaml; generated_exports/*.tsv; repo_inventory/raw_export/*.json; future schema audit.	A future schema/export target mapping YAML phases, objects, proof dossiers, modules, handoffs, statuses, theory markings, and review states into relational or graph-friendly tables.	Documentation/governance object: verify that it is review/query infrastructure only, not a CNNA-generative source. For DBR1 also verify immediate expert-review/no-infallibility enforcement.	Pending. Future tooling/review phase must show this object consumes YAML/Lean-generated metadata only and remains generated-secondary documentation/review infrastructure.	Pending. Must verify round-trip/reference integrity and no CNNA-generative role before activation.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Keep black/secondary until the corresponding Phase 20.x tooling/audit phase is activated.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
DBR3	Discipline-separated expert-review matrix	20.3	no	object_proof_dossiers; workflow_policy; status_legend review/audit rows; future discipline review rows.	A future review matrix linking claims, objects, phases, modules, and established-theory references to required specialist disciplines and review evidence/status.	Documentation/governance object: verify that it is review/query infrastructure only, not a CNNA-generative source. For DBR1 also verify immediate expert-review/no-infallibility enforcement.	Pending. Future tooling/review phase must show this object consumes YAML/Lean-generated metadata only and remains generated-secondary documentation/review infrastructure.	Pending. Must verify round-trip/reference integrity and no CNNA-generative role before activation.	Keep black/secondary until the corresponding Phase 20.x tooling/audit phase is activated.	F3	Compact record: what exists, why it exists, owning phase, source location, and whether it may affect Lean objects. Avoid proofbook bloat.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
